collection,figmaVariableName,mode,value,type,alias,defaultMode
tokens,colors/cornflower/100,,#73cedaff,COLOR,false,true
tokens,colors/cornflower/200,,#55b9c8ff,COLOR,false,true
tokens,colors/cornflower/300,,#359eadff,COLOR,false,true
tokens,colors/cornflower/400,,#007889ff,COLOR,false,true
tokens,colors/cornflower/500,,#00636fff,COLOR,false,true
tokens,colors/cornflower/600,,#004f59ff,COLOR,false,true
tokens,colors/cornflower/700,,#00363dff,COLOR,false,true
tokens,colors/cornflower/800,,#001f24ff,COLOR,false,true
tokens,colors/cornflower/900,,#021316ff,COLOR,false,true
tokens,colors/cornflower/1000,,#00090bff,COLOR,false,true
tokens,colors/cornflower/000,,#eaf7fbff,COLOR,false,true
tokens,colors/cornflower/050,,#a1dfe7ff,COLOR,false,true
tokens,colors/gray/100,,#e9e9e9ff,COLOR,false,true
tokens,colors/gray/200,,#d6d6d6ff,COLOR,false,true
tokens,colors/gray/300,,#c2c2c2ff,COLOR,false,true
tokens,colors/gray/400,,#a9a9a9ff,COLOR,false,true
tokens,colors/gray/500,,#8b8b8bff,COLOR,false,true
tokens,colors/gray/600,,#6c6c6cff,COLOR,false,true
tokens,colors/gray/700,,#545454ff,COLOR,false,true
tokens,colors/gray/800,,#373737ff,COLOR,false,true
tokens,colors/gray/900,,#2b2b2bff,COLOR,false,true
tokens,colors/gray/1000,,#131313ff,COLOR,false,true
tokens,colors/gray/000,,#fcfcfcff,COLOR,false,true
tokens,colors/gray/050,,#f9f9f9ff,COLOR,false,true
tokens,colors/greensheen/100,,#7be4a5ff,COLOR,false,true
tokens,colors/greensheen/200,,#3dd67bff,COLOR,false,true
tokens,colors/greensheen/300,,#00c851ff,COLOR,false,true
tokens,colors/greensheen/400,,#00a945ff,COLOR,false,true
tokens,colors/greensheen/500,,#008b38ff,COLOR,false,true
tokens,colors/greensheen/600,,#006c2cff,COLOR,false,true
tokens,colors/greensheen/700,,#035425ff,COLOR,false,true
tokens,colors/greensheen/800,,#013717ff,COLOR,false,true
tokens,colors/greensheen/900,,#002b1dff,COLOR,false,true
tokens,colors/greensheen/1000,,#00130dff,COLOR,false,true
tokens,colors/greensheen/000,,#e9fbf1ff,COLOR,false,true
tokens,colors/greensheen/050,,#b8f1cfff,COLOR,false,true
tokens,colors/mandarin/100,,#fcd2acff,COLOR,false,true
tokens,colors/mandarin/200,,#fdb981ff,COLOR,false,true
tokens,colors/mandarin/300,,#ffa052ff,COLOR,false,true
tokens,colors/mandarin/400,,#fc853bff,COLOR,false,true
tokens,colors/mandarin/500,,#fc7527ff,COLOR,false,true
tokens,colors/mandarin/600,,#d9510dff,COLOR,false,true
tokens,colors/mandarin/700,,#a84510ff,COLOR,false,true
tokens,colors/mandarin/800,,#82360cff,COLOR,false,true
tokens,colors/mandarin/900,,#592208ff,COLOR,false,true
tokens,colors/mandarin/1000,,#2a1004ff,COLOR,false,true
tokens,colors/mandarin/000,,#fff4eaff,COLOR,false,true
tokens,colors/mandarin/050,,#ffe7d2ff,COLOR,false,true
tokens,colors/mandy/100,,#f79f9fff,COLOR,false,true
tokens,colors/mandy/200,,#f46e6eff,COLOR,false,true
tokens,colors/mandy/300,,#f03e3eff,COLOR,false,true
tokens,colors/mandy/400,,#ec0e0eff,COLOR,false,true
tokens,colors/mandy/500,,#d40d0dff,COLOR,false,true
tokens,colors/mandy/600,,#bd0b0bff,COLOR,false,true
tokens,colors/mandy/700,,#8e0808ff,COLOR,false,true
tokens,colors/mandy/800,,#5e0606ff,COLOR,false,true
tokens,colors/mandy/900,,#2f0303ff,COLOR,false,true
tokens,colors/mandy/1000,,#1a0606ff,COLOR,false,true
tokens,colors/mandy/000,,#feeaeaff,COLOR,false,true
tokens,colors/mandy/050,,#fbcfcfff,COLOR,false,true
tokens,colors/salmon/100,,#f8b9bfff,COLOR,false,true
tokens,colors/salmon/200,,#f8919aff,COLOR,false,true
tokens,colors/salmon/300,,#e55d78ff,COLOR,false,true
tokens,colors/salmon/400,,#ca284eff,COLOR,false,true
tokens,colors/salmon/500,,#c21b43ff,COLOR,false,true
tokens,colors/salmon/600,,#b1173bff,COLOR,false,true
tokens,colors/salmon/700,,#851a34ff,COLOR,false,true
tokens,colors/salmon/800,,#5e0312ff,COLOR,false,true
tokens,colors/salmon/900,,#4c010dff,COLOR,false,true
tokens,colors/salmon/1000,,#24060bff,COLOR,false,true
tokens,colors/salmon/000,,#fbeff1ff,COLOR,false,true
tokens,colors/salmon/050,,#f6d5d8ff,COLOR,false,true
tokens,font/sizes/2xs,,10,FLOAT,false,true
tokens,font/sizes/xs,,12,FLOAT,false,true
tokens,font/sizes/sm,,14,FLOAT,false,true
tokens,font/sizes/md,,16,FLOAT,false,true
tokens,font/sizes/lg,,18,FLOAT,false,true
tokens,font/sizes/xl,,20,FLOAT,false,true
tokens,font/sizes/2xl,,24,FLOAT,false,true
tokens,font/sizes/3xl,,28,FLOAT,false,true
tokens,font/sizes/4xl,,32,FLOAT,false,true
tokens,font/sizes/5xl,,36,FLOAT,false,true
tokens,font/sizes/6xl,,40,FLOAT,false,true
tokens,font/typefaces/primary,,"Lexend, sans-serif",STRING,false,true
tokens,font/typefaces/secondary,,Bellota Text,STRING,false,true
tokens,font/typefaces/tertiary,,"Quattrocento, serif",STRING,false,true
tokens,font/weights/thin,,100,FLOAT,false,true
tokens,font/weights/extra-light,,200,FLOAT,false,true
tokens,font/weights/light,,300,FLOAT,false,true
tokens,font/weights/regular,,400,FLOAT,false,true
tokens,font/weights/medium,,500,FLOAT,false,true
tokens,font/weights/semi-bold,,600,FLOAT,false,true
tokens,font/weights/bold,,700,FLOAT,false,true
tokens,font/weights/extra-bold,,800,FLOAT,false,true
tokens,font/weights/black,,900,FLOAT,false,true
tokens,font/cases/original,,null,STRING,false,true
tokens,font/cases/uppercase,,uppercase,STRING,false,true
tokens,font/cases/titlecase,,lowercase,STRING,false,true
tokens,font/decorations/none,,null,STRING,false,true
tokens,font/decorations/underline,,underline,STRING,false,true
tokens,font/decorations/strikethrough,,strikethrough,STRING,false,true
tokens,font/letter-spacings/tightest,,-0.05,FLOAT,false,true
tokens,font/letter-spacings/tighter,,-0.03,FLOAT,false,true
tokens,font/letter-spacings/tight,,-0.01,FLOAT,false,true
tokens,font/letter-spacings/default,,0,FLOAT,false,true
tokens,font/letter-spacings/wide,,0.1,FLOAT,false,true
tokens,font/letter-spacings/wider,,0.25,FLOAT,false,true
tokens,font/letter-spacings/widest,,0.5,FLOAT,false,true
tokens,font/line-heights/shortest,,0.9,FLOAT,false,true
tokens,font/line-heights/shorter,,0.95,FLOAT,false,true
tokens,font/line-heights/short,,1,FLOAT,false,true
tokens,font/line-heights/default,,1.05,FLOAT,false,true
tokens,font/line-heights/tall,,1.175,FLOAT,false,true
tokens,font/line-heights/taller,,1.3,FLOAT,false,true
tokens,font/line-heights/tallest,,1.4,FLOAT,false,true
tokens,font/styles/normal,,normal,STRING,false,true
tokens,font/styles/italic,,italic,STRING,false,true
tokens,sizes/none,,0,FLOAT,false,true
tokens,sizes/0-5x,,4,FLOAT,false,true
tokens,sizes/default,,8,FLOAT,false,true
tokens,sizes/1-5x,,12,FLOAT,false,true
tokens,sizes/2x,,16,FLOAT,false,true
tokens,sizes/3x,,24,FLOAT,false,true
tokens,sizes/4x,,32,FLOAT,false,true
tokens,sizes/5x,,40,FLOAT,false,true
tokens,sizes/6x,,48,FLOAT,false,true
tokens,opacities/invisible,,0,FLOAT,false,true
tokens,opacities/mist,,0.1,FLOAT,false,true
tokens,opacities/ghost,,0.38,FLOAT,false,true
tokens,opacities/faint,,0.68,FLOAT,false,true
tokens,opacities/veiled,,0.84,FLOAT,false,true
tokens,opacities/smoky,,0.94,FLOAT,false,true
tokens,opacities/solid,,1,FLOAT,false,true
themes,layers/layer-0/elements/interactive/tone,Light,brand/palettes/core-colors/interactive/default/tone,COLOR,true,true
themes,layers/layer-0/elements/interactive/tone-hover,Light,brand/palettes/core-colors/interactive/hover/tone,COLOR,true,true
themes,layers/layer-0/elements/interactive/on-tone,Light,brand/palettes/core-colors/interactive/default/on-tone,COLOR,true,true
themes,layers/layer-0/elements/interactive/on-tone-hover,Light,brand/palettes/core-colors/interactive/hover/on-tone,COLOR,true,true
themes,layers/layer-0/elements/text/warning,Light,brand/palettes/core-colors/warning/tone,COLOR,true,true
themes,layers/layer-0/elements/text/success,Light,brand/palettes/core-colors/success/tone,COLOR,true,true
themes,layers/layer-0/elements/text/alert,Light,brand/palettes/core-colors/alert/tone,COLOR,true,true
themes,layers/layer-0/elements/text/color,Light,brand/palettes/neutral/050/color/on-tone,COLOR,true,true
themes,layers/layer-0/properties/elevation,Light,brand/elevations/elevation-0,STRING,true,true
themes,layers/layer-0/properties/surface,Light,brand/palettes/neutral/000/color/tone,COLOR,true,true
themes,layers/layer-0/properties/padding,Light,tokens/sizes/3x,FLOAT,true,true
themes,layers/layer-0/properties/border-color,Light,brand/palettes/neutral/200/color/tone,COLOR,true,true
themes,layers/layer-0/properties/border-radius,Light,tokens/sizes/3x,FLOAT,true,true
themes,layers/layer-0/properties/border-thickness,Light,0,FLOAT,false,true
themes,layers/layer-1/properties/border-thickness,Light,2,FLOAT,false,true
themes,layers/layer-1/properties/elevation,Light,brand/elevations/elevation-0,STRING,true,true
themes,layers/layer-1/properties/border-radius,Light,tokens/sizes/3x,FLOAT,true,true
themes,layers/layer-1/properties/border-color,Light,brand/palettes/neutral/200/color/tone,COLOR,true,true
themes,layers/layer-1/properties/surface,Light,brand/palettes/neutral/050/color/tone,COLOR,true,true
themes,layers/layer-1/properties/padding,Light,tokens/sizes/3x,FLOAT,true,true
themes,layers/layer-1/elements/text/warning,Light,brand/palettes/core-colors/warning/tone,COLOR,true,true
themes,layers/layer-1/elements/text/success,Light,brand/palettes/core-colors/success/tone,COLOR,true,true
themes,layers/layer-1/elements/text/alert,Light,brand/palettes/core-colors/alert/tone,COLOR,true,true
themes,layers/layer-1/elements/text/color,Light,brand/palettes/neutral/050/color/on-tone,COLOR,true,true
themes,layers/layer-1/elements/interactive/tone,Light,brand/palettes/core-colors/interactive/default/tone,COLOR,true,true
themes,layers/layer-1/elements/interactive/tone-hover,Light,brand/palettes/core-colors/interactive/hover/tone,COLOR,true,true
themes,layers/layer-1/elements/interactive/on-tone,Light,brand/palettes/core-colors/interactive/default/on-tone,COLOR,true,true
themes,layers/layer-1/elements/interactive/on-tone-hover,Light,brand/palettes/core-colors/interactive/hover/on-tone,COLOR,true,true
themes,layers/layer-3/properties/elevation,Light,brand/elevations/elevation-4,STRING,true,true
themes,layers/layer-3/properties/border-radius,Light,tokens/sizes/default,FLOAT,true,true
themes,layers/layer-3/properties/surface,Light,brand/palettes/neutral/050/color/tone,COLOR,true,true
themes,layers/layer-3/properties/padding,Light,tokens/sizes/2x,FLOAT,true,true
themes,layers/layer-3/properties/border-color,Light,brand/palettes/neutral/100/color/tone,COLOR,true,true
