figmaVariableName,mode,value,type,alias,defaultMode
globals/icon/style,0,outline,STRING,false,true
globals/icon/style,1,outline,STRING,false,false
globals/icon/style,2,outline,STRING,false,false
globals/icon/style,3,outline,STRING,false,false
globals/form/properties/label-field-gap-horizontal,0,brand/dimensions/gutters/horizontal,FLOAT,true,true
globals/form/properties/label-field-gap-horizontal,1,brand/dimensions/gutters/horizontal,FLOAT,true,false
globals/form/properties/label-field-gap-horizontal,2,brand/dimensions/gutters/horizontal,FLOAT,true,false
globals/form/properties/label-field-gap-horizontal,3,brand/dimensions/gutters/horizontal,FLOAT,true,false
globals/form/properties/label-field-gap-vertical,0,brand/dimensions/general/default,FLOAT,true,true
globals/form/properties/label-field-gap-vertical,1,brand/dimensions/general/default,FLOAT,true,false
globals/form/properties/label-field-gap-vertical,2,brand/dimensions/general/default,FLOAT,true,false
globals/form/properties/label-field-gap-vertical,3,brand/dimensions/general/default,FLOAT,true,false
globals/form/properties/vertical-item-gap,0,brand/dimensions/general/default,FLOAT,true,true
globals/form/properties/vertical-item-gap,1,brand/dimensions/general/default,FLOAT,true,false
globals/form/properties/vertical-item-gap,2,brand/dimensions/general/default,FLOAT,true,false
globals/form/properties/vertical-item-gap,3,brand/dimensions/general/default,FLOAT,true,false
globals/form/field/colors/background,0,brand/palettes/neutral/000/color/tone,COLOR,true,true
globals/form/field/colors/background,1,brand/palettes/neutral/000/color/tone,COLOR,true,false
globals/form/field/colors/background,2,brand/palettes/neutral/000/color/tone,COLOR,true,false
globals/form/field/colors/background,3,brand/palettes/neutral/000/color/tone,COLOR,true,false
globals/form/field/colors/background-read-only,0,brand/palettes/neutral/100/color/tone,COLOR,true,true
globals/form/field/colors/background-read-only,1,brand/palettes/neutral/100/color/tone,COLOR,true,false
globals/form/field/colors/background-read-only,2,brand/palettes/neutral/100/color/tone,COLOR,true,false
globals/form/field/colors/background-read-only,3,brand/palettes/neutral/100/color/tone,COLOR,true,false
globals/form/field/colors/border,0,brand/palettes/neutral/200/color/tone,COLOR,true,true
globals/form/field/colors/border,1,brand/palettes/neutral/200/color/tone,COLOR,true,false
globals/form/field/colors/border,2,brand/palettes/neutral/200/color/tone,COLOR,true,false
globals/form/field/colors/border,3,brand/palettes/neutral/200/color/tone,COLOR,true,false
globals/form/field/colors/border-focus,0,brand/palettes/palette-1/400/color/tone,COLOR,true,true
globals/form/field/colors/border-focus,1,brand/palettes/palette-1/400/color/tone,COLOR,true,false
globals/form/field/colors/border-focus,2,brand/palettes/palette-1/400/color/tone,COLOR,true,false
globals/form/field/colors/border-focus,3,brand/palettes/palette-1/400/color/tone,COLOR,true,false
globals/form/field/colors/border-selected,0,brand/palettes/palette-1/400/color/tone,COLOR,true,true
globals/form/field/colors/border-selected,1,brand/palettes/palette-1/400/color/tone,COLOR,true,false
globals/form/field/colors/border-selected,2,brand/palettes/palette-1/400/color/tone,COLOR,true,false
globals/form/field/colors/border-selected,3,brand/palettes/palette-1/400/color/tone,COLOR,true,false
globals/form/field/colors/border-error,0,brand/palettes/core-colors/alert/tone,COLOR,true,true
globals/form/field/colors/border-error,1,brand/palettes/core-colors/alert/tone,COLOR,true,false
globals/form/field/colors/border-error,2,brand/palettes/core-colors/alert/tone,COLOR,true,false
globals/form/field/colors/border-error,3,brand/palettes/core-colors/alert/tone,COLOR,true,false
globals/form/field/colors/icon,0,brand/palettes/neutral/000/color/on-tone,COLOR,true,true
globals/form/field/colors/icon,1,brand/palettes/neutral/000/color/on-tone,COLOR,true,false
globals/form/field/colors/icon,2,brand/palettes/neutral/000/color/on-tone,COLOR,true,false
globals/form/field/colors/icon,3,brand/palettes/neutral/000/color/on-tone,COLOR,true,false
globals/form/field/colors/text-valued,0,brand/palettes/neutral/000/color/on-tone,COLOR,true,true
globals/form/field/colors/text-valued,1,brand/palettes/neutral/000/color/on-tone,COLOR,true,false
globals/form/field/colors/text-valued,2,brand/palettes/neutral/000/color/on-tone,COLOR,true,false
globals/form/field/colors/text-valued,3,brand/palettes/neutral/000/color/on-tone,COLOR,true,false
globals/form/field/colors/placeholder-text-opacity,0,brand/text-emphasis/low,FLOAT,true,true
globals/form/field/colors/placeholder-text-opacity,1,brand/text-emphasis/low,FLOAT,true,false
globals/form/field/colors/placeholder-text-opacity,2,brand/text-emphasis/low,FLOAT,true,false
globals/form/field/colors/placeholder-text-opacity,3,brand/text-emphasis/low,FLOAT,true,false
globals/form/field/colors/disabled-background,0,brand/palettes/neutral/100/color/tone,COLOR,true,true
globals/form/field/colors/disabled-background,1,brand/palettes/neutral/100/color/tone,COLOR,true,false
globals/form/field/colors/disabled-background,2,brand/palettes/neutral/100/color/tone,COLOR,true,false
globals/form/field/colors/disabled-background,3,brand/palettes/neutral/100/color/tone,COLOR,true,false
globals/form/field/colors/disabled-text,0,brand/palettes/neutral/400/color/tone,COLOR,true,true
globals/form/field/colors/disabled-text,1,brand/palettes/neutral/400/color/tone,COLOR,true,false
globals/form/field/colors/disabled-text,2,brand/palettes/neutral/400/color/tone,COLOR,true,false
globals/form/field/colors/disabled-text,3,brand/palettes/neutral/400/color/tone,COLOR,true,false
