figmaVariableName,mode,value,type,alias,defaultMode
layers/layer-0/elements/interactive/tone,Light,brand/palettes/core-colors/interactive/default/tone,COLOR,true,true
layers/layer-0/elements/interactive/tone-hover,Light,brand/palettes/core-colors/interactive/hover/tone,COLOR,true,true
layers/layer-0/elements/interactive/on-tone,Light,brand/palettes/core-colors/interactive/default/on-tone,COLOR,true,true
layers/layer-0/elements/interactive/on-tone-hover,Light,brand/palettes/core-colors/interactive/hover/on-tone,COLOR,true,true
layers/layer-0/elements/text/warning,Light,brand/palettes/core-colors/warning/tone,COLOR,true,true
layers/layer-0/elements/text/success,Light,brand/palettes/core-colors/success/tone,COLOR,true,true
layers/layer-0/elements/text/alert,Light,brand/palettes/core-colors/alert/tone,COLOR,true,true
layers/layer-0/elements/text/color,Light,brand/palettes/neutral/050/color/on-tone,COLOR,true,true
layers/layer-0/properties/elevation,Light,brand/elevations/elevation-0,STRING,true,true
layers/layer-0/properties/surface,Light,brand/palettes/neutral/000/color/tone,COLOR,true,true
layers/layer-0/properties/padding,Light,tokens/sizes/3x,FLOAT,true,true
layers/layer-0/properties/border-color,Light,brand/palettes/neutral/200/color/tone,COLOR,true,true
layers/layer-0/properties/border-radius,Light,tokens/sizes/3x,FLOAT,true,true
layers/layer-0/properties/border-thickness,Light,0,FLOAT,false,true
layers/layer-1/properties/border-thickness,Light,2,FLOAT,false,true
layers/layer-1/properties/elevation,Light,brand/elevations/elevation-0,STRING,true,true
layers/layer-1/properties/border-radius,Light,tokens/sizes/3x,FLOAT,true,true
layers/layer-1/properties/border-color,Light,brand/palettes/neutral/200/color/tone,COLOR,true,true
layers/layer-1/properties/surface,Light,brand/palettes/neutral/050/color/tone,COLOR,true,true
layers/layer-1/properties/padding,Light,tokens/sizes/3x,FLOAT,true,true
layers/layer-1/elements/text/warning,Light,brand/palettes/core-colors/warning/tone,COLOR,true,true
layers/layer-1/elements/text/success,Light,brand/palettes/core-colors/success/tone,COLOR,true,true
layers/layer-1/elements/text/alert,Light,brand/palettes/core-colors/alert/tone,COLOR,true,true
