figmaVariableName,value,type
colors/cornflower/100,#73cedaff,COLOR
colors/cornflower/200,#55b9c8ff,COLOR
colors/cornflower/300,#359eadff,COLOR
colors/cornflower/400,#007889ff,COLOR
colors/cornflower/500,#00636fff,COLOR
colors/cornflower/600,#004f59ff,COLOR
colors/cornflower/700,#00363dff,COLOR
colors/cornflower/800,#001f24ff,COLOR
colors/cornflower/900,#021316ff,COLOR
colors/cornflower/1000,#00090bff,COLOR
colors/cornflower/000,#eaf7fbff,COLOR
colors/cornflower/050,#a1dfe7ff,COLOR
colors/gray/100,#e9e9e9ff,COLOR
colors/gray/200,#d6d6d6ff,COLOR
colors/gray/300,#c2c2c2ff,COLOR
colors/gray/400,#a9a9a9ff,COLOR
colors/gray/500,#8b8b8bff,COLOR
colors/gray/600,#6c6c6cff,COLOR
colors/gray/700,#545454ff,COLOR
colors/gray/800,#373737ff,COLOR
colors/gray/900,#2b2b2bff,COLOR
colors/gray/1000,#131313ff,COLOR
colors/gray/000,#fcfcfcff,COLOR
colors/gray/050,#f9f9f9ff,COLOR
colors/greensheen/100,#7be4a5ff,COLOR
colors/greensheen/200,#3dd67bff,COLOR
colors/greensheen/300,#00c851ff,COLOR
colors/greensheen/400,#00a945ff,COLOR
colors/greensheen/500,#008b38ff,COLOR
colors/greensheen/600,#006c2cff,COLOR
colors/greensheen/700,#035425ff,COLOR
colors/greensheen/800,#013717ff,COLOR
colors/greensheen/900,#002b1dff,COLOR
colors/greensheen/1000,#00130dff,COLOR
colors/greensheen/000,#e9fbf1ff,COLOR
colors/greensheen/050,#b8f1cfff,COLOR
colors/mandarin/100,#fcd2acff,COLOR
colors/mandarin/200,#fdb981ff,COLOR
colors/mandarin/300,#ffa052ff,COLOR
colors/mandarin/400,#fc853bff,COLOR
colors/mandarin/500,#fc7527ff,COLOR
colors/mandarin/600,#d9510dff,COLOR
colors/mandarin/700,#a84510ff,COLOR
colors/mandarin/800,#82360cff,COLOR
colors/mandarin/900,#592208ff,COLOR
colors/mandarin/1000,#2a1004ff,COLOR
colors/mandarin/000,#fff4eaff,COLOR
colors/mandarin/050,#ffe7d2ff,COLOR
colors/mandy/100,#f79f9fff,COLOR
colors/mandy/200,#f46e6eff,COLOR
colors/mandy/300,#f03e3eff,COLOR
colors/mandy/400,#ec0e0eff,COLOR
colors/mandy/500,#d40d0dff,COLOR
colors/mandy/600,#bd0b0bff,COLOR
colors/mandy/700,#8e0808ff,COLOR
colors/mandy/800,#5e0606ff,COLOR
colors/mandy/900,#2f0303ff,COLOR
colors/mandy/1000,#1a0606ff,COLOR
colors/mandy/000,#feeaeaff,COLOR
colors/mandy/050,#fbcfcfff,COLOR
colors/salmon/100,#f8b9bfff,COLOR
colors/salmon/200,#f8919aff,COLOR
colors/salmon/300,#e55d78ff,COLOR
colors/salmon/400,#ca284eff,COLOR
colors/salmon/500,#c21b43ff,COLOR
colors/salmon/600,#b1173bff,COLOR
colors/salmon/700,#851a34ff,COLOR
colors/salmon/800,#5e0312ff,COLOR
colors/salmon/900,#4c010dff,COLOR
colors/salmon/1000,#24060bff,COLOR
colors/salmon/000,#fbeff1ff,COLOR
colors/salmon/050,#f6d5d8ff,COLOR
font/sizes/2xs,10,FLOAT
font/sizes/xs,12,FLOAT
font/sizes/sm,14,FLOAT
font/sizes/md,16,FLOAT
font/sizes/lg,18,FLOAT
font/sizes/xl,20,FLOAT
font/sizes/2xl,24,FLOAT
font/sizes/3xl,28,FLOAT
font/sizes/4xl,32,FLOAT
font/sizes/5xl,36,FLOAT
font/sizes/6xl,40,FLOAT
font/typefaces/primary,"Lexend, sans-serif",STRING
font/typefaces/secondary,Bellota Text,STRING
font/typefaces/tertiary,"Quattrocento, serif",STRING
font/weights/thin,100,FLOAT
font/weights/extra-light,200,FLOAT
font/weights/light,300,FLOAT
font/weights/regular,400,FLOAT
font/weights/medium,500,FLOAT
font/weights/semi-bold,600,FLOAT
font/weights/bold,700,FLOAT
font/weights/extra-bold,800,FLOAT
font/weights/black,900,FLOAT
font/cases/original,null,STRING
font/cases/uppercase,uppercase,STRING
font/cases/titlecase,lowercase,STRING
font/decorations/none,null,STRING
font/decorations/underline,underline,STRING
font/decorations/strikethrough,strikethrough,STRING
font/letter-spacings/tightest,-0.05,FLOAT
font/letter-spacings/tighter,-0.03,FLOAT
font/letter-spacings/tight,-0.01,FLOAT
font/letter-spacings/default,0,FLOAT
font/letter-spacings/wide,0.1,FLOAT
font/letter-spacings/wider,0.25,FLOAT
font/letter-spacings/widest,0.5,FLOAT
font/line-heights/shortest,0.9,FLOAT
font/line-heights/shorter,0.95,FLOAT
font/line-heights/short,1,FLOAT
font/line-heights/default,1.05,FLOAT
font/line-heights/tall,1.175,FLOAT
font/line-heights/taller,1.3,FLOAT
font/line-heights/tallest,1.4,FLOAT
font/styles/normal,normal,STRING
font/styles/italic,italic,STRING
sizes/none,0,FLOAT
sizes/0-5x,4,FLOAT
sizes/default,8,FLOAT
sizes/1-5x,12,FLOAT
sizes/2x,16,FLOAT
sizes/3x,24,FLOAT
sizes/4x,32,FLOAT
sizes/5x,40,FLOAT
sizes/6x,48,FLOAT
opacities/invisible,0,FLOAT
opacities/mist,0.1,FLOAT
opacities/ghost,0.38,FLOAT
opacities/faint,0.68,FLOAT
opacities/veiled,0.84,FLOAT
opacities/smoky,0.94,FLOAT
opacities/solid,1,FLOAT
